raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,18,22,9,1:52.350,112350.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:52.350000
84,18,23,9,1:28.018,88018.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.018000
84,18,24,8,1:27.755,87755.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.755000
84,18,25,6,1:27.247,87247.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.247000
84,18,26,6,1:27.263,87263.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.263000
84,18,27,6,1:27.987,87987.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.987000
84,18,28,6,1:27.232,87232.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.232000
84,18,29,6,1:27.214,87214.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.214000
84,18,30,6,1:27.102,87102.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.102000
84,18,31,6,1:27.044,87044.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.044000
84,18,32,6,1:26.756,86756.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.756000
84,18,33,6,1:27.085,87085.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.085000
84,18,34,6,1:26.686,86686.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.686000
84,18,35,6,1:26.608,86608.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.608000
84,18,36,6,1:26.559,86559.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.559000
84,18,37,5,1:26.739,86739.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.739000
84,18,38,5,1:26.525,86525.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.525000
84,18,39,5,1:27.039,87039.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.039000
84,18,40,5,1:28.319,88319.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:28.319000
84,18,41,5,1:26.754,86754.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.754000
84,18,42,5,1:26.648,86648.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.648000
